X,Y,OBJECTID,County,Name,Address,City,Zip,Phone,Latitude,Longitude,Gasoline,Diesel,HV_Diesel,DEF,Kerosene,NonHwy
-84.217476,35.0251230000001,1,Mecklenburg,7-Eleven,9501 York Rd,Charlotte,28217,7045889960,35.025123,-84.217476,12,6,0,0,0,0
-84.217476,35.0251230000001,2,Cherokee,Payne's Tire & Grocery,13355 US Highway 64 West,Murphy,28906,8284947847,35.025123,-84.217476,4,1,0,0,1,0
-84.142556,35.153443,3,Cherokee,Shooks Marina,11003 Joe Brown Hwy,Murphy,28906,8288372863,35.153443,-84.142556,1,0,0,0,0,0
-84.101666,35.033623,4,Cherokee,Hot Spot #2008,5560 Highway 64 West,Murphy,28906,8288376839,35.033623,-84.101666,12,2,0,0,1,0
-84.0946959999999,35.120523,5,Cherokee,Duke's Hideaway Marina,555 Duke Lodge Rd,Murphy,28906,8288353332,35.120523,-84.094696,1,0,0,0,0,0
-84.063316,35.0640230000001,6,Cherokee,Murphy USA #6610,2336 US Highway 19,Murphy,28906,8288357255,35.064023,-84.063316,24,2,0,0,0,0
-84.0460659999999,35.1086930000001,7,Cherokee,Graves Grocery,2470 Joe Brown Highway,Murphy,28906,8288371575,35.108693,-84.046066,4,1,0,0,1,0
-84.03734,35.0971300000001,8,Cherokee,Joe Brown Convenience,705 Joe Brown Highway,Murphy,28906,8288373354,35.09713,-84.03734,13,1,0,0,1,0
-84.036436,35.0946230000001,9,Cherokee,Dockery's,2920 Joe Brown Highway,Murphy,28906,8284732201,35.094623,-84.036436,0,0,0,0,0,0
-84.035696,35.079823,10,Cherokee,Fat Back's Citgo,101 US Highway 64 West,Murphy,28906,8288375665,35.079823,-84.035696,24,2,0,0,1,1
-84.025606,35.0954630000001,11,Cherokee,Big D Convenience Store #600,331 Hill St.,Murphy,28906,8288379369,35.095463,-84.025606,4,0,0,0,1,0
-84.0166159999999,35.098333,12,Cherokee,Sports Convenience,226 Bulldog Drive,Murphy,28906,8288372323,35.098333,-84.016616,36,4,0,0,0,1
-83.9643359999999,35.0706030000001,13,Cherokee,Quick Pantry #105,4264 E US Highway 64 Alt,Murphy,28906,8288372085,35.070603,-83.964336,12,1,0,0,1,0
-83.964306,35.068273,14,Cherokee,Wag-a-Bag Convenience,4411 E US Highway 64 Alt,Murphy,28906,8288376913,35.068273,-83.964306,12,1,0,0,1,0
-83.959096,35.0402330000001,15,Clay,Clay's Corner,11005 Old Hwy. 64 W,Brasstown,28902,8288373797,35.040233,-83.959096,4,1,0,0,1,0
-83.946726,35.0920830000001,16,Cherokee,Peachtree Corner Express,1825 NC Highway 141,Murphy,28906,8288359339,35.092083,-83.946726,12,4,0,0,1,1
-83.925516,35.1724130000001,17,Cherokee,Marble Quick Pantry #106,7985 NC Highway 141,Marble,28905,8288375806,35.172413,-83.925516,18,7,0,0,1,2
-83.919636,35.466663,18,Swain,Deals Gap Motorcycle Resort,17548 Tapoco Rd,Robbinsville,28771,8284982231,35.466663,-83.919636,2,0,0,0,0,0
-83.893646,35.054763,19,Clay,Hill's Store,5024 Highway 64 W,Hayesville,28904,8283898737,35.054763,-83.893646,8,4,0,0,1,1
-83.8598059999999,35.3214130000001,20,Graham,Thunder Mountain General Store,574 Santeetlah Rd.,Robbinsville,28771,8284794171,35.321413,-83.859806,2,1,0,0,0,0
-83.858126,35.365773,21,Graham,Santeelah Marina,1 Marina Dr.,Robbinsville,28771,8284798180,35.365773,-83.858126,2,0,0,0,0,0
-83.856866,35.425663,22,Graham,Outland Gas & Grocery,8185 Tapoco Rd,Robbinsville,28771,8284792485,35.425663,-83.856866,2,0,0,0,0,0
-83.846166,35.199513,23,Cherokee,SHIV Store,13990 US Highway 19,Andrews,28901,8283214873,35.199513,-83.846166,24,2,0,0,0,1
-83.839596,35.2028530000001,24,Cherokee,Aztex #207,427 Main St.,Andrews,28901,8283216055,35.202853,-83.839596,12,1,0,0,1,0
-83.831126,35.035423,25,Clay,Big D Convenience Store #280,601 Old Hwy 64 W,Hayesville,28904,8283896221,35.035423,-83.831126,4,1,0,0,1,1
-83.827556,35.2055030000001,26,Cherokee,Quick Pantry #103,53 Locust Drive,Andrews,28901,8283214076,35.205503,-83.827556,18,2,0,0,1,0
-83.819826,35.0350930000001,27,Clay,The Local Market #202,37 Old Hwy 64 E,Hayesville,28904,8283896828,35.035093,-83.819826,36,4,0,0,1,0
